Procs,Terms,ChunkSize,Variable,Total,MaxTime
13,1000,6,0.990000,99.995683,0.001356
13,1000,7,0.990000,99.995683,0.001324
13,1000,8,0.990000,99.995683,0.001263
13,1000,9,0.990000,99.995683,0.001309
13,1000,10,0.990000,99.995683,0.001319
13,1000,11,0.990000,99.995683,0.001347
13,1000,12,0.990000,99.995683,0.001248
13,1000,13,0.990000,99.995683,0.001338
13,1000,14,0.990000,99.995683,0.001326
13,1000,15,0.990000,99.995683,0.001128
13,1000,16,0.990000,99.995683,0.001396
13,1000,17,0.990000,99.995683,0.001332
13,1000,18,0.990000,99.995683,0.001381
13,1000,19,0.990000,99.995683,0.001263
13,1000,20,0.990000,99.995683,0.001242
13,1000,21,0.990000,99.995683,0.001213
13,1000,22,0.990000,99.995683,0.001379
13,1000,23,0.990000,99.995683,0.001392
13,1000,24,0.990000,99.995683,0.001376
13,1000,25,0.990000,99.995683,0.001230
13,1000,50,0.990000,99.995683,0.001844
13,1000,100,0.990000,99.995683,0.002232
16,1000,1,0.990000,99.995683,0.001832
16,1000,2,0.990000,99.995683,0.001578
16,1000,3,0.990000,99.995683,0.001491
16,1000,4,0.990000,99.995683,0.001565
16,1000,5,0.990000,99.995683,0.001286
16,1000,6,0.990000,99.995683,0.001210
16,1000,7,0.990000,99.995683,0.001241
16,1000,8,0.990000,99.995683,0.001106
16,1000,9,0.990000,99.995683,0.001180
16,1000,10,0.990000,99.995683,0.001086
16,1000,11,0.990000,99.995683,0.001181
16,1000,12,0.990000,99.995683,0.001157
16,1000,13,0.990000,99.995683,0.001256
16,1000,14,0.990000,99.995683,0.001112
16,1000,15,0.990000,99.995683,0.001164
16,1000,16,0.990000,99.995683,0.001066
16,1000,17,0.990000,99.995683,0.001231
16,1000,18,0.990000,99.995683,0.001257
16,1000,19,0.990000,99.995683,0.001242
16,1000,20,0.990000,99.995683,0.001110
16,1000,21,0.990000,99.995683,0.001202
16,1000,22,0.990000,99.995683,0.001071
16,1000,23,0.990000,99.995683,0.001045
16,1000,24,0.990000,99.995683,0.001188
16,1000,25,0.990000,99.995683,0.001247
16,1000,50,0.990000,99.995683,0.001885
16,1000,100,0.990000,99.995683,0.001839
